artist;title;year;id;genre;language
Concha Piquer;A La Lima Y Al Limón;1940;23Aq74ZveTpeNqBs8ozdwg;Copla;Spanish
Concha Piquer;Tatuaje;1941;1Q26vHr8z0X1MFfRPDwPDZ;Copla;Spanish
Celia Gámez;Mírame;1942;6LXeUZnFdzXtpqvAleWyrV;Canción popular;Spanish
Juan Torregrosa;Mi Vaca Lechera;1946;1YSr1H59KlpgDCMEOsl2gi;Canción popular;Spanish
Juanita Reina;Francisco Alegre;1948;6qRrvJ7icb7eI9wj4442Q1;Copla;Spanish
Jorge Sepúlveda;Mirando Al Mar;1949;07MMEZU5miUfZ9OankU18o;Bolero;Spanish
Frank Sinatra;Let it snow;1950;7inXu0Eaeg02VsM8kHNvzM;Swing;English
Jorge Sepúlveda;Tres Veces Guapa;1950;0GVQMLYWayDvznAkyz4esU;Copla;Spanish
Luis Mariano;Ole, Torero;1951;7MnUxLQecOYMQjc5I5taIg;Canción popular;French
Antonio Molina;Adiós A España;1954;0KTnFgWGTpQ9DZZhyMyhtG;Copla;Spanish
Hermanas Fleta;Chino Li-Wong;1955;1YAuNRPrpbNfrj98iVy9aU;Canción ligera;Spanish
Luis Mariano;Violetas Imperiales;1955;0EUIPQATpkq2jEUKrhQRXV;Canción ligera;Spanish
The Platters;Only you;1955;0S5cs4lAkx99tGjoWS4Jtk;Soul;English
José Guardiola;Soy americano;1957;3oxNmVaOkt2HsYwWeygVez;Swing;Spanish
Sara Montiel;El Relicario;1957;5tmITkfdgcnqsVIsC5pMLT;Copla;Spanish
José Guardiola;Come prima;1958;2l4QGymkVWIUTPUqc4mGl8;Canción ligera;Spanish
José Guardiola;En el azul del cielo;1958;0xb1aKxLyHpAaD0trtgDMu;Canción ligera;Spanish
José Luis y su Guitarra;Mariquilla;1958;1DOo8mHehqqe0KYWEE3efS;Pop;Spanish
Dúo Dinámico;Rogar;1959;0Y8BGyP9SaagIJQaCU7vzS;Pop;Spanish
Gloria Lasso;Luna de miel;1959;2I5R3XOXT60yBzvIwWVw0B;Bolero;Spanish
Hermanas Serrano;El día de los enamorados;1959;6M0vSefLsQE9tL6DKhKiGm;Canción popular;Spanish
Hermanas Serrano;El dia dels enamorats;1959;1Exlp0PrOtXxmkUOFlOjsG;Canción popular;Catalan
José Guardiola;La montaña;1959;0hDY22zjPpUfb2dD2RNlhi;Canción ligera;Spanish
José Guardiola;Pequeña flor;1959;4SRjbWHYiYRwj0IUWhsESS;Canción ligera;Spanish
José Guardiola;Un telegrama;1959;5dmu8BRU3GuwqcXQLPscZL;Canción ligera;Spanish
José Luis y su Guitarra;Blanca estrella;1959;13Cs6A5BfKXz9qSq4Iul5k;Pop;Spanish
José Luis y su Guitarra;Señorita luna;1959;4u2bltyBO47HJKojcRmOho;Pop;Spanish
Los 5 Latinos;Como antes (Come prima);1959;6DE4LGO6V8RjPhmIPclLHc;Pop;Spanish
Los 5 Latinos;Recordandote;1959;2tTpd7PJ38f1TbwCVcWY0H;Pop;Spanish
Los Estudiantes;Ready Teddy;1959;79xC7ulZduHFPWbj5yJsCN;Rock;English
Paul Anka;Diana;1959;2k6qpHJsrKCCyvsHv2cPqR;Pop;English
Paul Anka;Lonely boy;1959;4kh2S9hRpPvoF9JkwZcYGN;Pop;English
Paul Anka;You are my destiny;1959;36Jxpbk3PlcDo9hSGiAsfU;Pop;English
Dúo Dinámico;Quince años tiene mi amor;1960;5TdRaNXaSGasywwqTWdtKH;Pop;Spanish
Dúo Rúbam;Adán y Eva;1960;2b6fX2vkRhqQpuJFQ4MXL6;Rock;Spanish
Elvis Presley;It´s now or never;1960;1XunTmhOcj3xwh4b8P3isX;Rock;English
Gelu;Después de seis tequilas;1960;0wQWWki5desaWvrfD4rnJ3;Pop;Spanish
Gloria Lasso;La cancion de Orfeo;1960;6C3INnAHsyjJDZ6j5Eo1yR;Bolero;Spanish
Hermanas Serrano;Comunicando;1960;6EsGONwi6sUv0FzmknVJeA;Pop;Spanish
Jacqueline Boyer;Tom Pillibi;1960;3fZIQ0sdsy7u7YDmOpqbxS;Chanson;French
Jimmy Fontana;Diavolo;1960;2xWFTlYTuLSLdW394DNwdH;Pop;Italian
José Guardiola;Dieciseis toneladas;1960;3YgxQkVH4hKBruWiXUKgGo;Pop;Spanish
José Guardiola;Mackie El Navaja;1960;3mYgLNJ9VCh2QYBUIUz5iK;Pop;Spanish
