artist;title;year;id;popularity;acousticness;danceability;energy;instrumentalness;mode;tempo;valence;duration_ms;preview_url;genre;language
Concha Piquer;A La Lima Y Al Limón;1940;23Aq74ZveTpeNqBs8ozdwg;12;0.967;0.459;0.326;1.3e-05;0;;0.836;203000;https://p.scdn.co/mp3-preview/5cc493e05199102636b92ec97d3bf5608c6fbcce?cid=516c2d970434462eb2b843d7317ab577;Copla;Spanish
Concha Piquer;Tatuaje;1941;1Q26vHr8z0X1MFfRPDwPDZ;24;0.995;0.46;0.223;0.0957;0;;0.306;188200;https://p.scdn.co/mp3-preview/4dcd44397db3b2b0b6b361f40eb8aadcf3ef080d?cid=516c2d970434462eb2b843d7317ab577;Copla;Spanish
Celia Gámez;Mírame;1942;6LXeUZnFdzXtpqvAleWyrV;4;0.986;0.39;0.442;0.00263;0;;0.573;155054;https://p.scdn.co/mp3-preview/eebed426bd98f5a91543c311abb8a1439cbc843f?cid=516c2d970434462eb2b843d7317ab577;Canción popular;Spanish
Juan Torregrosa;Mi Vaca Lechera;1946;1YSr1H59KlpgDCMEOsl2gi;2;0.99;0.47;0.619;0.279;1;;0.71;150293;https://p.scdn.co/mp3-preview/bd6737f6c9f566e4704f8f8cc9d791d0dbfd0c66?cid=516c2d970434462eb2b843d7317ab577;Canción popular;Spanish
Juanita Reina;Francisco Alegre;1948;6qRrvJ7icb7eI9wj4442Q1;15;0.994;0.511;0.392;0.00966;0;;0.937;192253;https://p.scdn.co/mp3-preview/afa432a89abcdb624d4d977751495edc9b3600ba?cid=516c2d970434462eb2b843d7317ab577;Copla;Spanish
Jorge Sepúlveda;Mirando Al Mar;1949;07MMEZU5miUfZ9OankU18o;24;0.935;0.447;0.5;0.305;1;;0.39;190293;https://p.scdn.co/mp3-preview/68d40e2903345d82e5f8687069b84b175d203620?cid=516c2d970434462eb2b843d7317ab577;Bolero;Spanish
Frank Sinatra;Let it snow;1950;7inXu0Eaeg02VsM8kHNvzM;48;0.881;0.603;0.321;0;1;;0.844;155600;https://p.scdn.co/mp3-preview/9a868dfde7816ecd8565d6a809559fd2dec2760e?cid=516c2d970434462eb2b843d7317ab577;Swing;English
Jorge Sepúlveda;Tres Veces Guapa;1950;0GVQMLYWayDvznAkyz4esU;28;0.958;0.583;0.304;0.0162;0;;0.789;150653;https://p.scdn.co/mp3-preview/77816157b27ad090fc8677c046f5e898271b47ac?cid=516c2d970434462eb2b843d7317ab577;Copla;Spanish
Luis Mariano;Ole, Torero;1951;7MnUxLQecOYMQjc5I5taIg;3;0.984;0.557;0.377;2.79e-05;1;;0.768;186186;https://p.scdn.co/mp3-preview/216a8bbed2a9de7af0aea6e00c25f86507651996?cid=516c2d970434462eb2b843d7317ab577;Canción popular;French
Antonio Molina;Adiós A España;1954;0KTnFgWGTpQ9DZZhyMyhtG;26;0.947;0.377;0.366;1.65e-05;1;;0.277;166853;https://p.scdn.co/mp3-preview/e7045e6049d27848ff554eec70a397d7e268f1f6?cid=516c2d970434462eb2b843d7317ab577;Copla;Spanish
Hermanas Fleta;Chino Li-Wong;1955;1YAuNRPrpbNfrj98iVy9aU;0;0.984;0.661;0.34;0.000421;1;;0.687;141253;https://p.scdn.co/mp3-preview/a51b60baaad393b2f6860dd999b9da592d4c5339?cid=516c2d970434462eb2b843d7317ab577;Canción ligera;Spanish
